word,mean_attr,count
multitude,0.032296910881996155,3
ing,0.03229601606726647,10
poignant,0.03214922714978456,5
standing,0.032086321068080986,11
loves,0.032017502933740616,3
lies,0.03187105571851134,8
seek,0.03183281856278578,3
of,0.031801136111933415,715
familiar,0.03178529739379883,5
intentions,0.03166632130742073,5
social,0.03152289656414227,22
virtue,0.03137921523302793,5
conformity,0.03130882221739739,4
psyche,0.03127511745939652,6
hip,0.031192481931712892,9
ent,0.03116307674314488,11
reminder,0.031155927572399378,4
indeed,0.031136571496192898,14
brid,0.031052124328338183,13
fleeting,0.030967594900478918,6
fortune,0.03088285494595766,9
sufficient,0.030580264205733936,3
equally,0.03041706793010235,3
manner,0.030146711273118854,8
lives,0.030145536176860332,3
tender,0.030086900806054473,12
than,0.030018692556768655,10
giving,0.029904036937902372,3
tains,0.02980572171509266,5
in,0.029607966267889377,157
from,0.029603840162356693,15
acts,0.029408911103382708,5
danger,0.02939222442607085,3
avering,0.029265140066854656,8
complex,0.029241304223736126,3
merely,0.02918730303645134,4
depths,0.028953665825115008,11
ext,0.028808880264737775,7
reduce,0.028443163571258385,3
heart,0.028369737182449745,38
whisper,0.028306164778769016,4
soul,0.028218081841866176,3
distinction,0.028203878551721573,6
opinions,0.028201957310860355,9
by,0.028195505858665065,70
as,0.028137153566435532,27
confer,0.02812578610610217,4
ly,0.027961358428001404,4
ielding,0.027763496696328122,6
between,0.027586331841750786,13
disconnect,0.027439859385291736,3
we,0.02729661717753986,29
it,0.027156113306969893,213
intention,0.02675419479298095,6
form,0.02670862277348836,6
upon,0.02660188434476202,11
desires,0.026567126624286175,3
balance,0.02650492449498011,9
et,0.026422241935506463,6
its,0.026314678627790675,27
melancholy,0.026308676227927208,5
self,0.026133559504523875,10
est,0.025802534228811663,6
per,0.02571163864340633,10
peers,0.025589157594367862,6
whereas,0.02547902406917678,9
rare,0.025466180096069973,6
more,0.02510597568977138,23
feeling,0.02493380196392536,4
with,0.02484335765346057,45
A,0.024718925085229177,24
con,0.024583041295409204,5
that,0.02458198319370972,205
harbor,0.024446066818200052,4
ocating,0.024211289593949914,4
id,0.023983692983165383,3
led,0.023879560874775052,14
be,0.02368924179990288,84
unw,0.023608043789863586,9
web,0.02345257392153144,3
dignity,0.02341830963268876,3
societal,0.023401689881991063,7
all,0.023341552276785176,6
capacity,0.02311843523586338,11
solitude,0.023106569579492014,3
one,0.023024235285007424,31
echoes,0.022887474042363465,4
well,0.02275209031491117,11
thing,0.02269358995060126,3
inherent,0.022679968737065792,4
relates,0.022527466722143192,12
exist,0.022152585675939918,4
collective,0.022152283539374668,3
personal,0.02197131118737161,10
vanity,0.021970417971412342,3
same,0.021855985280126333,4
ness,0.021623066826058284,7
large,0.021530519181396812,6
and,0.021487901555374264,300
suspended,0.021472536027431488,3
through,0.021235176150433042,11
ac,0.02121317684650421,5
respect,0.021009856097710628,6
regarded,0.021009354619309306,8
It,0.020838190040349047,106
weet,0.020640283667792875,3
union,0.020518052391707897,4
w,0.020455259713344276,8
sway,0.020451219752430916,3
whispered,0.02017427410464734,4
great,0.020110731944441795,4
connected,0.020068368408828974,4
contradictions,0.019996885520716507,3
Bene,0.01996504166163504,4
integrity,0.019923620236416657,3
around,0.019909548456780612,8
sincerity,0.019764772305885952,3
